Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
28000,1.4153495,136.375,2.3734531,57.43251190148294,57.43251190148294,1.0
29000,1.4153496,132.83333333333334,2.8058174,74.61791839947303,74.61791839947303,1.0
30000,1.4153496,117.8,2.0237525,42.900373002344914,42.900373002344914,1.0
31000,1.4148239,187.8,2.902379,91.43726997375488,91.43726997375488,1.0
32000,1.4130852,148.85714285714286,4.903785,91.00641352310777,91.00641352310777,1.0
33000,1.4130852,95.0,3.723004,52.36793083629825,52.36793083629825,1.0
34000,1.4130851,175.6,4.512653,78.58225497355063,78.58225497355063,1.0
35000,1.4130852,78.25,3.3429186,43.68584954050871,43.68584954050871,1.0
36000,1.4130852,140.85714285714286,4.4970126,75.8704824170896,75.8704824170896,1.0
37000,1.4130852,123.5,4.378956,66.80129445623606,66.80129445623606,1.0
38000,1.4130851,217.8,6.235278,106.68279266357422,106.68279266357422,1.0
39000,1.4130852,93.36363636363636,4.3611474,56.42307755202055,56.42307755202055,1.0
40000,1.4130851,226.0,5.687503,103.5093762204051,103.5093762204051,1.0
41000,1.4130851,129.57142857142858,3.983723,75.2841761931777,75.2841761931777,1.0
42000,1.4118613,168.71428571428572,5.3979745,85.90083369506257,85.90083369506257,1.0
43000,1.4115683,249.0,8.422613,140.81354522705078,140.81354522705078,1.0
44000,1.4115683,125.625,4.9636893,63.90044226249059,63.90044226249059,1.0
45000,1.4115683,153.83333333333334,6.3240466,90.42281036327283,90.42281036327283,1.0
46000,1.4115682,166.0,6.3680863,97.16872100780408,97.16872100780408,1.0
47000,1.4115684,137.85714285714286,5.699933,80.95711343522582,80.95711343522582,1.0
48000,1.4115684,232.75,8.420793,134.72515106201172,134.72515106201172,1.0
49000,1.4115683,199.2,7.263583,118.41963928192854,118.41963928192854,1.0
50000,1.4115683,165.66666666666666,6.6509748,100.54375661164522,100.54375661164522,1.0
51000,1.4115683,249.0,9.043508,148.3771209716797,148.3771209716797,1.0
52000,1.4109845,118.125,5.7637978,67.40895576402545,67.40895576402545,1.0
53000,1.4103794,199.2,11.114714,126.95796936005354,126.95796936005354,1.0
54000,1.4103795,249.0,12.882005,160.45021057128906,160.45021057128906,1.0
55000,1.4103795,249.0,12.608607,156.16533660888672,156.16533660888672,1.0
56000,1.4103795,199.2,11.231906,129.62281921356916,129.62281921356916,1.0
57000,1.4103795,196.66666666666666,10.932164,120.6639427182575,120.6639427182575,1.0
58000,1.4103795,249.0,12.906949,158.05391311645508,158.05391311645508,1.0
59000,1.4103795,199.6,10.918104,123.61970475763083,123.61970475763083,1.0
60000,1.4103794,199.4,11.233122,128.71917042434217,128.71917042434217,1.0
61000,1.4103795,249.0,12.718922,155.8759422302246,155.8759422302246,1.0
62000,1.4100863,249.0,12.353326,152.64513778686523,152.64513778686523,1.0
63000,1.4089698,166.16666666666666,13.483879,112.09843906139334,112.09843906139334,1.0
64000,1.4089698,249.0,16.562817,164.33170700073242,164.33170700073242,1.0
65000,1.4089698,249.0,16.799047,167.84568786621094,167.84568786621094,1.0
66000,1.4089698,166.0,14.57635,131.70729186981916,131.70729186981916,1.0
67000,1.4089698,249.0,14.7608,136.09041564911604,136.09041564911604,1.0
68000,1.4089698,199.2,14.709392,132.70738037079573,132.70738037079573,1.0
69000,1.4089698,142.57142857142858,12.478335,95.36715877481869,95.36715877481869,1.0
70000,1.4089696,199.2,14.7061615,132.7964642331004,132.7964642331004,1.0
71000,1.4089698,199.2,14.565771,131.64926269501447,131.64926269501447,1.0
72000,1.4089698,249.0,16.686077,166.35783004760742,166.35783004760742,1.0
73000,1.4067181,249.0,19.697334,171.28099822998047,171.28099822998047,1.0
74000,1.4066069,249.0,20.76429,176.01005172729492,176.01005172729492,1.0
75000,1.4066068,249.0,21.177261,180.29737091064453,180.29737091064453,1.0
76000,1.4066068,249.0,21.038078,177.83333206176758,177.83333206176758,1.0
77000,1.4066069,249.0,20.87437,176.7175750732422,176.7175750732422,1.0
78000,1.4066068,249.0,20.80291,175.13264083862305,175.13264083862305,1.0
79000,1.4066068,249.0,20.946299,178.3221778869629,178.3221778869629,1.0
80000,1.4066068,249.0,21.04142,178.12982177734375,178.12982177734375,1.0
81000,1.4066068,199.2,18.63874,144.80297363251447,144.80297363251447,1.0
82000,1.4066069,249.0,21.194645,180.61852264404297,180.61852264404297,1.0
83000,1.4035827,249.0,20.263391,146.50726745575668,146.50726745575668,1.0
84000,1.402355,199.2,22.555744,146.11443603485822,146.11443603485822,1.0
85000,1.402355,249.0,25.168251,183.66436386108398,183.66436386108398,1.0
86000,1.402355,234.5,25.053543,170.1946907043457,170.1946907043457,1.0
87000,1.402355,199.2,22.487026,146.32891662567854,146.32891662567854,1.0
88000,1.402355,249.0,25.422113,186.55670547485352,186.55670547485352,1.0
89000,1.402355,249.0,25.066471,183.64002990722656,183.64002990722656,1.0
90000,1.402355,249.0,25.225325,186.94396209716797,186.94396209716797,1.0
91000,1.402355,249.0,25.180868,182.34931182861328,182.34931182861328,1.0
92000,1.402355,199.2,22.434013,147.89424560517074,147.89424560517074,1.0
93000,1.4012238,249.0,25.127024,184.87489318847656,184.87489318847656,1.0
94000,1.397104,249.0,28.984812,192.40240859985352,192.40240859985352,1.0
95000,1.397104,199.2,26.36406,155.083271484077,155.083271484077,1.0
96000,1.397104,249.0,29.017054,193.87970733642578,193.87970733642578,1.0
97000,1.397104,142.28571428571428,23.171993,108.41152125703437,108.41152125703437,1.0
98000,1.397104,249.0,29.39398,195.77809524536133,195.77809524536133,1.0
99000,1.397104,199.2,26.24494,153.5866925045848,153.5866925045848,1.0
100000,1.397104,249.0,29.068254,191.65658569335938,191.65658569335938,1.0
101000,1.397104,249.0,28.909212,192.51730346679688,192.51730346679688,1.0
102000,1.397104,249.0,29.138042,193.68412017822266,193.68412017822266,1.0
103000,1.397104,249.0,29.088015,192.73287200927734,192.73287200927734,1.0
104000,1.3933456,212.4,32.136024,167.7268310546875,167.7268310546875,1.0
105000,1.3932095,249.0,32.997894,196.27741622924805,196.27741622924805,1.0
106000,1.3932095,232.75,33.349815,186.01996612548828,186.01996612548828,1.0
107000,1.3932095,249.0,33.23935,197.2690887451172,197.2690887451172,1.0
108000,1.3932093,249.0,33.86673,201.3313980102539,201.3313980102539,1.0
109000,1.3932093,249.0,33.5117,198.83849716186523,198.83849716186523,1.0
110000,1.3932093,218.25,29.820354,139.8124005123973,139.8124005123973,1.0
111000,1.3932095,249.0,33.495377,201.22955703735352,201.22955703735352,1.0
112000,1.3932095,189.83333333333334,30.252012,151.40668843562403,151.40668843562403,1.0
113000,1.3932096,228.25,33.489986,201.10859298706055,201.10859298706055,1.0
114000,1.3921915,219.0,33.056458,161.91058158874512,161.91058158874512,1.0
115000,1.3905911,186.83333333333334,32.219055,152.63757807388902,152.63757807388902,1.0
116000,1.390591,249.0,35.229553,205.5987892150879,205.5987892150879,1.0
117000,1.3905909,249.0,35.01548,202.65071868896484,202.65071868896484,1.0
118000,1.390591,212.0,34.108284,173.33996124267577,173.33996124267577,1.0
119000,1.3905909,249.0,35.155704,205.60569381713867,205.60569381713867,1.0
120000,1.3905909,165.4,31.859364,133.75323150604964,133.75323150604964,1.0
121000,1.3905911,221.8,34.281197,180.26255493164064,180.26255493164064,1.0
